Bag_ID,Date,Site_ID,Ecoregion,Treatment,Plant_Number,GPS_Lat,GPS_Lon,Field_Temp_C,Field_Dist_From_Road_m,Field_Soil_Compaction_PSI,Field_Percent_Cover,Field_Damage_Score_0_to_4,Field_Open_Flowers,Field_Notes,Lab_Adult_Bugs,Lab_Larvae_Count,Lab_Egg_Count,Lab_Dry_Leaf_Biomass_g,Lab_Dry_Root_Biomass_g,Lab_Spine_Density_0_to_2,Lab_Leaf_CN_Ratio,Lab_Root_AMF_Colonization_Pct,Soil_pH_Site_Avg,Soil_Nitrogen_ppm_Site_Avg,Soil_Organic_Matter_Pct_Site_Avg,Soil_Nematode_Count_Site_Avg,Soil_AMF_Spore_Count_Site_Avg
0520-S01-U-P01-COMP,2026-05-20,S01,Valley,Undisturbed,1,26.22148,-98.68664,32.6,23.4,65,78,1,12,Flowering heavily,1,9,45,30.3,79.5,2,22.2,40,6.8,36.6,1.3,432,117
0520-S01-U-P02-COMP,2026-05-20,S01,Valley,Undisturbed,2,26.22148,-98.68664,32.6,23.4,65,96,2,10,Flowering heavily,4,0,23,37.0,66.4,2,23.7,53,6.8,36.6,1.3,432,117
0520-S01-U-P03-COMP,2026-05-20,S01,Valley,Undisturbed,3,26.22148,-98.68664,32.6,23.4,65,85,1,10,,3,10,1,31.7,86.6,1,25.7,46,6.8,36.6,1.3,432,117
0520-S01-U-P04-COMP,2026-05-20,S01,Valley,Undisturbed,4,26.22148,-98.68664,32.6,23.4,65,96,1,15,Huge root,1,18,24,46.9,89.6,2,22.4,43,6.8,36.6,1.3,432,117
0520-S01-U-P05-COMP,2026-05-20,S01,Valley,Undisturbed,5,26.22148,-98.68664,32.6,23.4,65,79,2,11,Very thorny,0,3,26,42.4,52.9,1,29.0,44,6.8,36.6,1.3,432,117
0520-S01-U-P06-COMP,2026-05-20,S01,Valley,Undisturbed,6,26.22148,-98.68664,32.6,23.4,65,73,1,9,Very thorny,0,6,35,27.3,55.8,1,27.9,60,6.8,36.6,1.3,432,117
0520-S01-U-P07-COMP,2026-05-20,S01,Valley,Undisturbed,7,26.22148,-98.68664,32.6,23.4,65,100,2,10,Flowering heavily,0,14,15,33.8,72.3,2,25.3,52,6.8,36.6,1.3,432,117
0520-S01-U-P08-COMP,2026-05-20,S01,Valley,Undisturbed,8,26.22148,-98.68664,32.6,23.4,65,93,1,14,Flowering heavily,5,20,13,36.7,80.7,1,20.0,73,6.8,36.6,1.3,432,117
0520-S01-U-P09-COMP,2026-05-20,S01,Valley,Undisturbed,9,26.22148,-98.68664,32.6,23.4,65,72,0,8,Huge root,2,9,9,41.6,85.7,2,29.0,59,6.8,36.6,1.3,432,117
0520-S01-U-P10-COMP,2026-05-20,S01,Valley,Undisturbed,10,26.22148,-98.68664,32.6,23.4,65,70,2,9,Huge root,1,12,30,42.3,60.4,1,25.3,52,6.8,36.6,1.3,432,117
0520-S02-U-P01-COMP,2026-05-20,S02,Valley,Undisturbed,1,26.30436,-98.58817,35.1,24.9,93,94,0,12,,5,19,17,38.0,51.8,2,23.2,52,8.2,38.6,4.4,186,182
0520-S02-U-P02-COMP,2026-05-20,S02,Valley,Undisturbed,2,26.30436,-98.58817,35.1,24.9,93,93,1,10,,4,6,33,44.5,62.4,2,26.6,77,8.2,38.6,4.4,186,182
0520-S02-U-P03-COMP,2026-05-20,S02,Valley,Undisturbed,3,26.30436,-98.58817,35.1,24.9,93,82,2,6,,5,6,7,34.7,50.9,1,23.2,77,8.2,38.6,4.4,186,182
0520-S02-U-P04-COMP,2026-05-20,S02,Valley,Undisturbed,4,26.30436,-98.58817,35.1,24.9,93,69,1,11,,4,15,32,40.0,75.3,2,24.8,61,8.2,38.6,4.4,186,182
0520-S02-U-P05-COMP,2026-05-20,S02,Valley,Undisturbed,5,26.30436,-98.58817,35.1,24.9,93,98,1,11,Flowering heavily,1,6,11,37.4,86.2,1,25.5,65,8.2,38.6,4.4,186,182
0520-S02-U-P06-COMP,2026-05-20,S02,Valley,Undisturbed,6,26.30436,-98.58817,35.1,24.9,93,83,2,5,Very thorny,4,6,23,29.7,96.1,1,28.8,74,8.2,38.6,4.4,186,182
0520-S02-U-P07-COMP,2026-05-20,S02,Valley,Undisturbed,7,26.30436,-98.58817,35.1,24.9,93,100,2,6,Huge root,0,10,48,39.2,81.6,2,20.0,62,8.2,38.6,4.4,186,182
0520-S02-U-P08-COMP,2026-05-20,S02,Valley,Undisturbed,8,26.30436,-98.58817,35.1,24.9,93,69,0,10,Very thorny,2,17,5,49.8,66.3,2,28.8,60,8.2,38.6,4.4,186,182
0520-S02-U-P09-COMP,2026-05-20,S02,Valley,Undisturbed,9,26.30436,-98.58817,35.1,24.9,93,95,1,8,Very thorny,0,20,49,36.2,89.6,1,26.9,66,8.2,38.6,4.4,186,182
0520-S02-U-P10-COMP,2026-05-20,S02,Valley,Undisturbed,10,26.30436,-98.58817,35.1,24.9,93,68,2,12,Flowering heavily,0,6,32,43.9,58.5,2,27.8,68,8.2,38.6,4.4,186,182
0520-S03-U-P01-COMP,2026-05-20,S03,Valley,Undisturbed,1,26.29753,-98.16069,31.7,12.0,81,86,2,9,Very thorny,1,19,1,42.9,71.5,2,29.5,58,7.5,23.1,1.5,434,290
0520-S03-U-P02-COMP,2026-05-20,S03,Valley,Undisturbed,2,26.29753,-98.16069,31.7,12.0,81,97,0,7,Very thorny,5,7,17,38.7,53.4,2,20.3,75,7.5,23.1,1.5,434,290
0520-S03-U-P03-COMP,2026-05-20,S03,Valley,Undisturbed,3,26.29753,-98.16069,31.7,12.0,81,95,2,15,Flowering heavily,5,20,25,47.9,54.4,2,26.8,51,7.5,23.1,1.5,434,290
0520-S03-U-P04-COMP,2026-05-20,S03,Valley,Undisturbed,4,26.29753,-98.16069,31.7,12.0,81,81,0,9,,3,7,30,34.5,79.2,2,23.3,58,7.5,23.1,1.5,434,290
0520-S03-U-P05-COMP,2026-05-20,S03,Valley,Undisturbed,5,26.29753,-98.16069,31.7,12.0,81,91,2,11,Huge root,0,18,26,47.0,61.9,2,20.2,46,7.5,23.1,1.5,434,290
0520-S03-U-P06-COMP,2026-05-20,S03,Valley,Undisturbed,6,26.29753,-98.16069,31.7,12.0,81,96,0,8,,2,17,46,39.3,94.6,2,22.1,51,7.5,23.1,1.5,434,290
0520-S03-U-P07-COMP,2026-05-20,S03,Valley,Undisturbed,7,26.29753,-98.16069,31.7,12.0,81,92,1,15,Flowering heavily,2,4,20,39.3,87.0,1,28.3,43,7.5,23.1,1.5,434,290
0520-S03-U-P08-COMP,2026-05-20,S03,Valley,Undisturbed,8,26.29753,-98.16069,31.7,12.0,81,71,1,9,Huge root,0,13,7,33.7,77.6,1,26.7,52,7.5,23.1,1.5,434,290
0520-S03-U-P09-COMP,2026-05-20,S03,Valley,Undisturbed,9,26.29753,-98.16069,31.7,12.0,81,86,1,15,Very thorny,3,17,4,43.9,59.8,1,24.5,67,7.5,23.1,1.5,434,290
0520-S03-U-P10-COMP,2026-05-20,S03,Valley,Undisturbed,10,26.29753,-98.16069,31.7,12.0,81,86,0,15,,5,17,10,30.6,79.0,2,24.3,42,7.5,23.1,1.5,434,290
0520-S04-D-P01-COMP,2026-05-20,S04,Valley,Disturbed,1,26.13166,-97.91392,32.8,1.5,244,23,4,1,,8,36,181,11.6,29.0,0,13.6,7,7.2,23.3,1.4,384,29
0520-S04-D-P02-COMP,2026-05-20,S04,Valley,Disturbed,2,26.13166,-97.91392,32.8,1.5,244,10,2,2,Mowed recently,8,79,81,12.8,34.2,1,13.6,9,7.2,23.3,1.4,384,29
0520-S04-D-P03-COMP,2026-05-20,S04,Valley,Disturbed,3,26.13166,-97.91392,32.8,1.5,244,0,4,0,,19,53,84,13.2,19.0,1,14.8,15,7.2,23.3,1.4,384,29
0520-S04-D-P04-COMP,2026-05-20,S04,Valley,Disturbed,4,26.13166,-97.91392,32.8,1.5,244,16,4,0,Ants present,20,52,122,13.1,15.1,0,10.2,0,7.2,23.3,1.4,384,29
0520-S04-D-P05-COMP,2026-05-20,S04,Valley,Disturbed,5,26.13166,-97.91392,32.8,1.5,244,7,3,2,Drought stressed,15,26,157,17.8,39.4,0,11.4,0,7.2,23.3,1.4,384,29
0520-S04-D-P06-COMP,2026-05-20,S04,Valley,Disturbed,6,26.13166,-97.91392,32.8,1.5,244,30,2,2,,8,50,245,22.4,18.9,0,10.4,12,7.2,23.3,1.4,384,29
0520-S04-D-P07-COMP,2026-05-20,S04,Valley,Disturbed,7,26.13166,-97.91392,32.8,1.5,244,17,3,0,Mowed recently,13,67,51,19.5,33.9,0,13.7,3,7.2,23.3,1.4,384,29
0520-S04-D-P08-COMP,2026-05-20,S04,Valley,Disturbed,8,26.13166,-97.91392,32.8,1.5,244,21,3,1,Looks healthy,11,46,52,19.5,27.1,1,13.2,12,7.2,23.3,1.4,384,29
0520-S04-D-P09-COMP,2026-05-20,S04,Valley,Disturbed,9,26.13166,-97.91392,32.8,1.5,244,26,3,2,Looks healthy,12,76,149,10.1,34.6,1,11.5,12,7.2,23.3,1.4,384,29
0520-S04-D-P10-COMP,2026-05-20,S04,Valley,Disturbed,10,26.13166,-97.91392,32.8,1.5,244,29,4,0,,9,100,180,15.0,21.5,1,13.6,1,7.2,23.3,1.4,384,29
0521-S05-D-P01-COMP,2026-05-21,S05,West_Texas,Disturbed,1,29.63856,-100.91492,36.7,2.8,216,26,4,2,,17,95,200,14.6,39.2,1,13.8,9,6.9,12.7,1.4,771,24
0521-S05-D-P02-COMP,2026-05-21,S05,West_Texas,Disturbed,2,29.63856,-100.91492,36.7,2.8,216,26,2,0,Drought stressed,17,53,144,15.6,34.5,1,12.2,2,6.9,12.7,1.4,771,24
0521-S05-D-P03-COMP,2026-05-21,S05,West_Texas,Disturbed,3,29.63856,-100.91492,36.7,2.8,216,29,3,2,Mowed recently,14,77,129,10.8,32.7,0,12.5,4,6.9,12.7,1.4,771,24
0521-S05-D-P04-COMP,2026-05-21,S05,West_Texas,Disturbed,4,29.63856,-100.91492,36.7,2.8,216,17,3,0,Drought stressed,10,43,135,23.1,23.8,1,11.9,9,6.9,12.7,1.4,771,24
0521-S05-D-P05-COMP,2026-05-21,S05,West_Texas,Disturbed,5,29.63856,-100.91492,36.7,2.8,216,4,2,2,Mowed recently,10,43,249,17.5,28.2,1,13.9,4,6.9,12.7,1.4,771,24
0521-S05-D-P06-COMP,2026-05-21,S05,West_Texas,Disturbed,6,29.63856,-100.91492,36.7,2.8,216,11,2,1,Drought stressed,6,45,55,11.3,17.1,0,14.0,10,6.9,12.7,1.4,771,24
0521-S05-D-P07-COMP,2026-05-21,S05,West_Texas,Disturbed,7,29.63856,-100.91492,36.7,2.8,216,12,2,2,Drought stressed,18,49,204,19.4,23.4,1,14.7,10,6.9,12.7,1.4,771,24
0521-S05-D-P08-COMP,2026-05-21,S05,West_Texas,Disturbed,8,29.63856,-100.91492,36.7,2.8,216,30,2,1,Looks healthy,10,94,222,15.1,16.6,0,13.9,10,6.9,12.7,1.4,771,24
0521-S05-D-P09-COMP,2026-05-21,S05,West_Texas,Disturbed,9,29.63856,-100.91492,36.7,2.8,216,19,4,1,Ants present,5,66,140,11.7,26.6,1,13.5,11,6.9,12.7,1.4,771,24
0521-S05-D-P10-COMP,2026-05-21,S05,West_Texas,Disturbed,10,29.63856,-100.91492,36.7,2.8,216,27,4,1,Mowed recently,5,58,103,14.6,24.0,1,11.7,12,6.9,12.7,1.4,771,24
0521-S06-U-P01-COMP,2026-05-21,S06,West_Texas,Undisturbed,1,29.68545,-100.66487,37.0,40.2,122,98,1,9,Very thorny,5,20,25,28.6,62.0,1,21.7,63,7.6,21.6,1.8,492,290
0521-S06-U-P02-COMP,2026-05-21,S06,West_Texas,Undisturbed,2,29.68545,-100.66487,37.0,40.2,122,63,1,11,Huge root,4,4,29,30.7,96.1,2,28.4,64,7.6,21.6,1.8,492,290
0521-S06-U-P03-COMP,2026-05-21,S06,West_Texas,Undisturbed,3,29.68545,-100.66487,37.0,40.2,122,78,2,13,Huge root,2,1,11,32.3,65.0,1,26.9,72,7.6,21.6,1.8,492,290
0521-S06-U-P04-COMP,2026-05-21,S06,West_Texas,Undisturbed,4,29.68545,-100.66487,37.0,40.2,122,98,1,13,,2,11,36,41.7,90.6,1,28.0,42,7.6,21.6,1.8,492,290
0521-S06-U-P05-COMP,2026-05-21,S06,West_Texas,Undisturbed,5,29.68545,-100.66487,37.0,40.2,122,80,1,6,Flowering heavily,2,12,41,49.7,61.0,2,24.0,67,7.6,21.6,1.8,492,290
0521-S06-U-P06-COMP,2026-05-21,S06,West_Texas,Undisturbed,6,29.68545,-100.66487,37.0,40.2,122,91,2,9,Flowering heavily,4,6,34,33.3,94.6,2,27.0,67,7.6,21.6,1.8,492,290
0521-S06-U-P07-COMP,2026-05-21,S06,West_Texas,Undisturbed,7,29.68545,-100.66487,37.0,40.2,122,99,0,14,Flowering heavily,2,8,33,32.5,56.6,1,29.1,68,7.6,21.6,1.8,492,290
0521-S06-U-P08-COMP,2026-05-21,S06,West_Texas,Undisturbed,8,29.68545,-100.66487,37.0,40.2,122,66,2,14,,1,20,15,29.9,96.7,1,24.5,53,7.6,21.6,1.8,492,290
0521-S06-U-P09-COMP,2026-05-21,S06,West_Texas,Undisturbed,9,29.68545,-100.66487,37.0,40.2,122,87,2,7,Very thorny,0,6,25,47.8,94.9,1,28.7,79,7.6,21.6,1.8,492,290
0521-S06-U-P10-COMP,2026-05-21,S06,West_Texas,Undisturbed,10,29.68545,-100.66487,37.0,40.2,122,72,2,6,Very thorny,4,9,48,39.1,92.4,1,20.6,60,7.6,21.6,1.8,492,290
0521-S07-U-P01-COMP,2026-05-21,S07,West_Texas,Undisturbed,1,29.38348,-100.52271,31.9,10.6,91,82,2,15,Very thorny,1,10,25,46.4,98.6,2,24.1,55,7.7,38.5,4.5,182,187
0521-S07-U-P02-COMP,2026-05-21,S07,West_Texas,Undisturbed,2,29.38348,-100.52271,31.9,10.6,91,88,0,7,Flowering heavily,3,18,18,45.1,51.0,2,23.0,77,7.7,38.5,4.5,182,187
0521-S07-U-P03-COMP,2026-05-21,S07,West_Texas,Undisturbed,3,29.38348,-100.52271,31.9,10.6,91,74,0,7,,0,1,18,32.0,85.3,2,29.9,64,7.7,38.5,4.5,182,187
0521-S07-U-P04-COMP,2026-05-21,S07,West_Texas,Undisturbed,4,29.38348,-100.52271,31.9,10.6,91,96,2,6,Huge root,3,2,9,25.7,83.7,1,29.9,73,7.7,38.5,4.5,182,187
0521-S07-U-P05-COMP,2026-05-21,S07,West_Texas,Undisturbed,5,29.38348,-100.52271,31.9,10.6,91,79,1,7,,5,10,42,25.4,63.9,1,24.8,75,7.7,38.5,4.5,182,187
0521-S07-U-P06-COMP,2026-05-21,S07,West_Texas,Undisturbed,6,29.38348,-100.52271,31.9,10.6,91,68,2,8,Huge root,0,1,28,37.8,76.9,1,23.5,64,7.7,38.5,4.5,182,187
0521-S07-U-P07-COMP,2026-05-21,S07,West_Texas,Undisturbed,7,29.38348,-100.52271,31.9,10.6,91,98,2,15,Flowering heavily,1,17,18,36.8,57.5,1,22.7,60,7.7,38.5,4.5,182,187
0521-S07-U-P08-COMP,2026-05-21,S07,West_Texas,Undisturbed,8,29.38348,-100.52271,31.9,10.6,91,98,1,7,Very thorny,0,16,45,31.1,86.3,2,26.9,62,7.7,38.5,4.5,182,187
0521-S07-U-P09-COMP,2026-05-21,S07,West_Texas,Undisturbed,9,29.38348,-100.52271,31.9,10.6,91,73,0,10,Flowering heavily,1,7,8,28.9,56.5,1,23.2,49,7.7,38.5,4.5,182,187
0521-S07-U-P10-COMP,2026-05-21,S07,West_Texas,Undisturbed,10,29.38348,-100.52271,31.9,10.6,91,99,0,7,Very thorny,2,0,26,37.7,62.2,2,29.6,44,7.7,38.5,4.5,182,187
0521-S08-U-P01-COMP,2026-05-21,S08,West_Texas,Undisturbed,1,29.45559,-100.46813,30.0,23.7,55,79,1,8,Flowering heavily,2,8,50,45.5,87.5,1,22.3,57,7.2,15.3,4.6,179,239
0521-S08-U-P02-COMP,2026-05-21,S08,West_Texas,Undisturbed,2,29.45559,-100.46813,30.0,23.7,55,64,1,6,Very thorny,2,5,9,28.4,64.5,1,29.5,52,7.2,15.3,4.6,179,239
0521-S08-U-P03-COMP,2026-05-21,S08,West_Texas,Undisturbed,3,29.45559,-100.46813,30.0,23.7,55,71,2,15,Very thorny,2,10,45,44.9,81.3,2,24.3,62,7.2,15.3,4.6,179,239
0521-S08-U-P04-COMP,2026-05-21,S08,West_Texas,Undisturbed,4,29.45559,-100.46813,30.0,23.7,55,90,0,7,Very thorny,4,13,3,43.8,74.4,1,29.3,48,7.2,15.3,4.6,179,239
0521-S08-U-P05-COMP,2026-05-21,S08,West_Texas,Undisturbed,5,29.45559,-100.46813,30.0,23.7,55,74,1,9,Flowering heavily,5,15,14,43.2,61.0,1,27.8,41,7.2,15.3,4.6,179,239
0521-S08-U-P06-COMP,2026-05-21,S08,West_Texas,Undisturbed,6,29.45559,-100.46813,30.0,23.7,55,80,0,9,,3,13,23,30.6,62.7,2,26.5,46,7.2,15.3,4.6,179,239
0521-S08-U-P07-COMP,2026-05-21,S08,West_Texas,Undisturbed,7,29.45559,-100.46813,30.0,23.7,55,83,0,12,Flowering heavily,5,0,1,35.2,72.9,2,26.2,75,7.2,15.3,4.6,179,239
0521-S08-U-P08-COMP,2026-05-21,S08,West_Texas,Undisturbed,8,29.45559,-100.46813,30.0,23.7,55,76,2,13,Flowering heavily,0,6,11,45.5,81.5,2,21.5,77,7.2,15.3,4.6,179,239
0521-S08-U-P09-COMP,2026-05-21,S08,West_Texas,Undisturbed,9,29.45559,-100.46813,30.0,23.7,55,74,0,8,,4,20,49,36.1,77.4,2,20.7,44,7.2,15.3,4.6,179,239
0521-S08-U-P10-COMP,2026-05-21,S08,West_Texas,Undisturbed,10,29.45559,-100.46813,30.0,23.7,55,76,0,7,Flowering heavily,5,1,16,48.2,86.9,1,27.7,55,7.2,15.3,4.6,179,239
0522-S09-D-P01-COMP,2026-05-22,S09,Panhandle,Disturbed,1,33.6246,-101.4389,32.5,2.8,272,18,2,1,Looks healthy,14,30,92,20.9,38.5,0,12.4,13,7.0,20.2,0.3,105,17
0522-S09-D-P02-COMP,2026-05-22,S09,Panhandle,Disturbed,2,33.6246,-101.4389,32.5,2.8,272,3,3,2,Drought stressed,13,69,229,18.6,23.5,0,12.2,0,7.0,20.2,0.3,105,17
0522-S09-D-P03-COMP,2026-05-22,S09,Panhandle,Disturbed,3,33.6246,-101.4389,32.5,2.8,272,0,3,0,Drought stressed,16,96,155,15.0,16.4,1,13.7,8,7.0,20.2,0.3,105,17
0522-S09-D-P04-COMP,2026-05-22,S09,Panhandle,Disturbed,4,33.6246,-101.4389,32.5,2.8,272,11,2,0,,17,89,177,19.2,16.4,0,14.1,12,7.0,20.2,0.3,105,17
0522-S09-D-P05-COMP,2026-05-22,S09,Panhandle,Disturbed,5,33.6246,-101.4389,32.5,2.8,272,26,2,2,Looks healthy,7,75,110,10.5,18.7,0,11.7,5,7.0,20.2,0.3,105,17
0522-S09-D-P06-COMP,2026-05-22,S09,Panhandle,Disturbed,6,33.6246,-101.4389,32.5,2.8,272,3,4,2,Looks healthy,11,93,82,11.8,36.1,0,11.5,3,7.0,20.2,0.3,105,17
0522-S09-D-P07-COMP,2026-05-22,S09,Panhandle,Disturbed,7,33.6246,-101.4389,32.5,2.8,272,24,3,2,,9,83,84,24.8,29.2,0,14.6,0,7.0,20.2,0.3,105,17
0522-S09-D-P08-COMP,2026-05-22,S09,Panhandle,Disturbed,8,33.6246,-101.4389,32.5,2.8,272,11,2,2,Drought stressed,14,67,112,24.5,36.0,0,14.1,10,7.0,20.2,0.3,105,17
0522-S09-D-P09-COMP,2026-05-22,S09,Panhandle,Disturbed,9,33.6246,-101.4389,32.5,2.8,272,20,3,2,,17,64,151,16.5,32.0,1,14.6,13,7.0,20.2,0.3,105,17
