obs_num,common_name,scientific_name,quality_grade,media_count,identifications_count,user,observed_date,place,added_date
1,Silverleaf Nightshade,Solanum elaeagnifolium,Research Grade,3,2,erik_aguillonwtx,"Jul 16, 2026 5:39 PM CDT","Benedict Dr, San Angelo, TX, US","Jul 16, 2026 5:40 PM CDT"
2,Silverleaf Nightshade,Solanum elaeagnifolium,Research Grade,2,2,zbox80,"Jul 6, 2026 5:00 PM CDT","Middle Concho W, San Angelo, TX, US","Jul 6, 2026 5:02 PM CDT"
3,Silverleaf Nightshade,Solanum elaeagnifolium,Research Grade,1,2,zbox80,"Jul 6, 2026 4:55 PM CDT","Middle Concho W, San Angelo, TX, US","Jul 6, 2026 4:57 PM CDT"
4,Silverleaf Nightshade,Solanum elaeagnifolium,Research Grade,2,3,charlieellison,"Jun 13, 2026 10:28 AM CDT","Tom Green County, US-TX, US","Jun 21, 2026 2:12 PM CDT"
5,Silverleaf Nightshade,Solanum elaeagnifolium,Research Grade,1,2,brooksy,"May 29, 2026 5:43 PM CDT","Old Ballinger Hwy, San Angelo, TX, US","May 29, 2026 6:00 PM CDT"
6,Silverleaf Nightshade,Solanum elaeagnifolium,Research Grade,2,2,opticswiz,"May 28, 2026 10:57 AM CDT","Grape Creek, TX 76901, USA","May 28, 2026 10:58 AM CDT"
7,Silverleaf Nightshade,Solanum elaeagnifolium,Research Grade,1,4,l_gonzalez,"May 25, 2026 10:27 AM CDT","San Angelo, TX, USA","May 26, 2026 8:25 PM CDT"
8,Silverleaf Nightshade,Solanum elaeagnifolium,Research Grade,1,3,lostwithinadream,"May 16, 2026 10:25 AM CDT",San Angelo,"May 16, 2026 10:25 AM CDT"
9,Silverleaf Nightshade,Solanum elaeagnifolium,Research Grade,1,2,napoleon1799,"May 9, 2026 2:46 PM CDT","San Angelo State Park, San Angelo, TX, US","May 9, 2026 5:58 PM CDT"
10,Silverleaf Nightshade,Solanum elaeagnifolium,Research Grade,3,3,brownie_batter,"May 2, 2026 11:45 AM CDT","Chaparral Trail, San Angelo, TX, US","May 2, 2026 11:18 PM CDT"
